Year,Week,Sales
2014,1,5.840965222600872
2014,2,4.271083368242247
2014,3,4.178648724657612
2014,4,3.9576093595639175
2014,5,4.508700685717969
2014,6,3.312073941051651
2014,7,3.5039762989284493
2014,8,3.4738345673247637
2014,9,3.1990424475378303
2014,10,2.719788915039229
2014,11,3.088522764990983
2014,12,3.908377864611231
2014,13,3.5773211791640844
2014,14,4.066119593337185
2014,15,4.504179425977416
2014,16,4.839255008971721
2014,17,5.166292796871709
2014,18,5.348147910880613
2014,19,5.439075467885064
2014,20,5.137658151848208
2014,21,5.72994317786063
2014,22,6.549295915287483
2014,23,6.132837656963227
2014,24,7.464599831652735
2014,25,6.761292760900072
2014,26,6.594006150499617
2014,27,7.651478567595586
2014,28,6.60907701630146
2014,29,6.60807229191467
2014,30,6.445306941254768
2014,31,8.117670683065922
2014,32,8.289980915400326
2014,33,8.48992106837144
2014,34,8.021719504127525
2014,35,8.48037618669694
2014,36,10.020116309451879
2014,37,8.707946260304766
2014,38,8.754665944290478
2014,39,8.937525782686171
2014,40,8.935516333912592
2014,41,10.89322180157197
2014,42,11.779388710720326
2014,43,12.269191849280217
2014,44,10.181374573531595
2014,45,11.690470602489455
2014,46,15.656117757147689
2014,47,27.228533244189375
2014,48,54.84991372361345
2014,49,30.837503241537327
2014,50,18.085038962211353
2014,51,22.61282941127832
2014,52,22.792675076513646
2015,1,16.924582295469456
2015,2,12.434469010907094
2015,3,12.927286322627353
2015,4,12.436980821874068
2015,5,14.519774475688742
2015,6,12.963456400551776
2015,7,13.202078442414287
2015,8,14.289692591113942
2015,9,13.196050096093549
2015,10,12.730360342816606
2015,11,12.846406009490797
2015,12,12.277732006567929
2015,13,11.731664302347825
2015,14,12.745933570811845
2015,15,11.659826508692374
2015,16,11.527202889636158
2015,17,12.465113104704175
2015,18,13.283963479937633
2015,19,11.699010759777165
2015,20,14.025952439581692
2015,21,14.583574474249875
2015,22,14.868413837904704
2015,23,13.847613860926552
2015,24,12.741914673264686
2015,25,13.367857966234558
2015,26,12.615319400529208
2015,27,15.0030469057345
2015,28,13.462804420786167
2015,29,13.086032775740097
2015,30,12.36865956357238
2015,31,12.783108373123056
2015,32,13.346256391918583
2015,33,12.326963501520614
2015,34,12.84791309607098
2015,35,13.784818586752207
2015,36,15.29341225351667
2015,37,17.349580711081423
2015,38,13.651190243309202
2015,39,13.338720959017662
2015,40,13.772761894110733
2015,41,13.943062677671557
2015,42,13.447733554984325
2015,43,13.1337571841126
2015,44,12.716294201401555
2015,45,14.936232734012997
2015,46,14.327369755618548
2015,47,15.40292721167673
2015,48,38.307629057317406
2015,49,29.663482795573774
2015,50,19.266594841075825
2015,51,22.59876326986327
2015,52,31.552867004931468
2015,53,26.061043506739953
2016,1,18.199577542305356
2016,2,16.190128768726318
2016,3,16.73619647294642
2016,4,17.256643705303393
2016,5,22.93886247479152
2016,6,25.41500572603429
2016,7,25.13920888186057
2016,8,21.187125506423993
2016,9,19.820197978196852
2016,10,17.66255235756636
2016,11,18.79085784393099
2016,12,15.75960436898701
2016,13,14.580560301089507
2016,14,16.21223270523569
2016,15,18.1282421108433
2016,16,15.56770201111021
2016,17,14.958839032715762
2016,18,14.858868956230204
2016,19,14.546902034132058
2016,20,15.264777608493171
2016,21,14.772462658966306
2016,22,14.743325651749409
2016,23,12.815761915693717
2016,24,15.97511774995336
2016,25,15.351686267950464
2016,26,16.54580120164981
2016,27,16.740717732686974
2016,28,14.503698885500109
2016,29,14.281654796019625
2016,30,14.152547712317173
2016,31,14.828224862433125
2016,32,15.360728787431569
2016,33,15.196456350191482
2016,34,14.638331953329905
2016,35,16.5658956893856
2016,36,19.149042087821453
2016,37,15.290900442549697
2016,38,14.833248484367072
2016,39,14.131950862387987
2016,40,13.443714657437166
2016,41,13.150335136494625
2016,42,13.34073040779124
2016,43,12.945371361589565
2016,44,14.574531954768771
2016,45,15.4632106748841
2016,46,17.04012559995025
2016,47,47.25972334361202
2016,48,34.29827639183383
2016,49,22.273232568543463
2016,50,20.764136539585607
2016,51,29.100837138971645
2016,52,30.066879636869768
2017,1,17.924785422518422
2017,2,14.966876827810077
2017,3,19.820700340390246
2017,4,14.546399671938664
2017,5,17.713793301292625
2017,6,10.402916300818685
2017,7,9.42180293711872
2017,8,13.878257954723633
2017,9,12.391265862275144
2017,10,10.693281648600856
2017,11,10.030163553319774
2017,12,10.814853299402388
2017,13,10.644552515841564
2017,14,12.31490680887914
2017,15,11.301139902608515
2017,16,10.553624958837114
2017,17,10.974102114708527
2017,18,10.88267219551068
2017,19,10.115062764003488
2017,20,10.044732056928222
2017,21,12.42994775116654
2017,22,12.2420642908369
2017,23,9.630283247377545
2017,24,11.132346205627876
2017,25,9.990979302234981
2017,26,14.015905195713797
2017,27,12.185799725176688
2017,28,10.642543067067985
2017,29,9.046036016459439
2017,30,8.670269095800158
2017,31,9.200763572025025
2017,32,9.43235254318001
2017,33,10.79073991411944
2017,34,10.999722586571659
2017,35,13.097084743994781
2017,36,14.151040625736988
2017,37,8.705434449337792
2017,38,9.654396632660493
2017,39,10.396385592304553
2017,40,10.252207642800258
2017,41,10.521473778459848
2017,42,9.851824974664634
2017,43,10.056788749569696
2017,44,9.961842295018085
2017,45,13.579854811847145
2017,46,14.40674298217492
2017,47,66.40575125827311
2017,48,29.88452216066747
2017,49,12.470136726638122
2017,50,13.731065832058968
2017,51,21.220281411188047
2017,52,16.171039005377317
2018,1,11.323243839117884
2018,2,11.780895797300511
2018,3,16.315719317075008
2018,4,17.036609064596487
2018,5,21.322260936447183
2018,6,8.642136812970053
